dataset,top100_tp_fp,top200_tp_fp,top500_tp_fp,top1000_tp_fp,top3000_tp_fp,top5000_tp_fp,full_pool_tp_fp,status
THEIA_E3,34 / 66,42 / 158,42 / 458,42 / 958,42 / 2958,42 / 4958,54 / 28692,locked_user_provided
CADETS_E3,32 / 68,32 / 168,34 / 466,34 / 966,43 / 2957,47 / 4953,53 / 6050,locked_user_provided
CLEARSCOPE_E3,1 / 99,1 / 199,3 / 497,13 / 987,40 / 2960,40 / 3297,40 / 3297,locked_user_provided
CLEARSCOPE_E5,needs_recompute,needs_recompute,needs_recompute,needs_recompute,needs_recompute,needs_recompute,14 / 377,needs_recompute_51_gt_source_conflict
THEIA_E5,2 / 98,2 / 198,3 / 497,10 / 751,10 / 751,10 / 751,10 / 751,locked_user_provided
OPTC_051,3 / 97,3 / 197,17 / 377,17 / 377,17 / 377,17 / 377,17 / 377,locked_from_node_topk_metrics_and_canonical_audit
